year,gdp_current_lcu,population_total,gdp_per_capita_lcu
1999,9137890000000.0,1252735000.0,7294.351957916079
2000,10130860000000.0,1262645000.0,8023.522050932764
2001,11215730000000.0,1271850000.0,8818.437708849315
2002,12331190000000.0,1280400000.0,9630.732583567635
2003,13937730000000.0,1288400000.0,10817.859360447066
2004,16422800000000.0,1296075000.0,12671.18029435025
2005,18990750000000.0,1303720000.0,14566.586383579297
2006,22257840000000.0,1311020000.0,16977.498436332015
2007,27417970000000.0,1317885000.0,20804.523915212634
2008,32431780000000.0,1324655000.0,24483.189962669527
2009,35452160000000.0,1331260000.0,26630.530474888452
2010,41925330000000.0,1337705000.0,31341.237417816334
2011,49570760000000.0,1345035000.0,36854.624600846815
2012,54751060000000.0,1354190000.0,40430.85534526174
2013,60366040000000.0,1363240000.0,44281.30043132537
2014,65578290000000.0,1371860000.0,47802.46526613503
2015,70251150000000.0,1379860000.0,50911.79539953329
2016,76119300000000.0,1387790000.0,54849.29276043205
2017,84738290000000.0,1396215000.0,60691.43362591005
2018,93601010000000.0,1402760000.0,66726.31811571473
2019,100587240000000.0,1407745000.0,71452.74179627703
2020,103486760000000.0,1411100000.0,73337.65147757069
2021,117382300000000.0,1412360000.0,83110.7508000793
2022,123402940000000.0,1412175000.0,87385.01956202312
2023,129427170000000.0,1410710000.0,91746.1207477086
2024,134908354627800.0,1408975000.0,95749.28911286574
2025,,,
