dcpid,title,url,filename
2026,中华人民共和国二〇二六年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2026,2026_中华人民共和国二〇二六年县级以上行政区划变更情况.txt
2025,中华人民共和国二〇二五年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2025,2025_中华人民共和国二〇二五年县级以上行政区划变更情况.txt
2024,中华人民共和国二〇二四年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2024,2024_中华人民共和国二〇二四年县级以上行政区划变更情况.txt
2023,中华人民共和国二〇二三年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2023,2023_中华人民共和国二〇二三年县级以上行政区划变更情况.txt
2021,中华人民共和国二〇二一年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2021,2021_中华人民共和国二〇二一年县级以上行政区划变更情况.txt
2020,中华人民共和国二〇二〇年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2020,2020_中华人民共和国二〇二〇年县级以上行政区划变更情况.txt
2019,中华人民共和国二〇一九年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2019,2019_中华人民共和国二〇一九年县级以上行政区划变更情况.txt
2018,中华人民共和国二〇一八年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2018,2018_中华人民共和国二〇一八年县级以上行政区划变更情况.txt
2017,中华人民共和国二〇一七年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2017,2017_中华人民共和国二〇一七年县级以上行政区划变更情况.txt
2016,中华人民共和国二〇一六年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2016,2016_中华人民共和国二〇一六年县级以上行政区划变更情况.txt
2015,中华人民共和国二〇一五年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2015,2015_中华人民共和国二〇一五年县级以上行政区划变更情况.txt
2014,中华人民共和国二〇一四年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2014,2014_中华人民共和国二〇一四年县级以上行政区划变更情况.txt
2013,中华人民共和国二〇一三年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2013,2013_中华人民共和国二〇一三年县级以上行政区划变更情况.txt
2012,中华人民共和国二〇一二年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2012,2012_中华人民共和国二〇一二年县级以上行政区划变更情况.txt
2011,中华人民共和国二〇一一年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2011,2011_中华人民共和国二〇一一年县级以上行政区划变更情况.txt
2010,中华人民共和国二〇一〇年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2010,2010_中华人民共和国二〇一〇年县级以上行政区划变更情况.txt
2009,中华人民共和国二〇〇九年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2009,2009_中华人民共和国二〇〇九年县级以上行政区划变更情况.txt
2008,中华人民共和国二〇〇八年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2008,2008_中华人民共和国二〇〇八年县级以上行政区划变更情况.txt
2007,中华人民共和国二〇〇七年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2007,2007_中华人民共和国二〇〇七年县级以上行政区划变更情况.txt
2006,中华人民共和国二〇〇六年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2006,2006_中华人民共和国二〇〇六年县级以上行政区划变更情况.txt
2005,中华人民共和国二〇〇五年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2005,2005_中华人民共和国二〇〇五年县级以上行政区划变更情况.txt
2004,中华人民共和国二〇〇四年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2004,2004_中华人民共和国二〇〇四年县级以上行政区划变更情况.txt
2003,中华人民共和国二〇〇三年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2003,2003_中华人民共和国二〇〇三年县级以上行政区划变更情况.txt
2002,中华人民共和国二〇〇二年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2002,2002_中华人民共和国二〇〇二年县级以上行政区划变更情况.txt
2001,中华人民共和国二〇〇一年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2001,2001_中华人民共和国二〇〇一年县级以上行政区划变更情况.txt
2000,中华人民共和国二〇〇〇年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=2000,2000_中华人民共和国二〇〇〇年县级以上行政区划变更情况.txt
1999,中华人民共和国一九九九年县级以上行政区划变更情况,http://xzqh.mca.gov.cn/description?dcpid=1999,1999_中华人民共和国一九九九年县级以上行政区划变更情况.txt
