year,province,township_street_count,street_count,town_count,township_count,other_township_level_count,status_township_street_count,source_township_street_count,source_url
2009,上海市,210,99,109,2,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,云南省,1366,80,597,689,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,内蒙古自治区,863,221,463,179,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,北京市,322,140,142,40,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,吉林省,897,276,425,196,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,四川省,4660,253,1821,2586,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,天津市,243,107,116,20,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,宁夏回族自治区,233,41,99,93,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,安徽省,1520,258,905,357,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,山东省,1872,507,1096,269,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,山西省,1397,201,563,633,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,广东省,1584,436,1137,11,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,广西壮族自治区,1232,106,702,424,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,新疆维吾尔自治区,1005,150,234,620,1,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,江苏省,1334,316,911,107,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,江西省,1535,137,778,620,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,河北省,2228,267,992,968,1,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,河南省,2361,479,904,978,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,浙江省,1513,333,735,445,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,海南省,222,18,183,21,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,湖北省,1227,283,740,204,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,湖南省,2409,247,1106,1056,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,甘肃省,1350,124,464,762,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,福建省,1102,173,591,338,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,西藏自治区,692,10,140,542,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,贵州省,1555,109,689,757,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,辽宁省,1504,570,577,357,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,重庆市,1009,164,578,267,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,陕西省,1745,175,921,649,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,青海省,396,30,137,229,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2009,黑龙江省,1272,376,467,429,0,observed,nbs_yearbook_province_admin_2009,https://www.stats.gov.cn/sj/ndsj/2010/html/B0101C.HTM
2010,上海市,210,99,109,2,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,云南省,1366,80,597,689,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,内蒙古自治区,863,221,463,179,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,北京市,322,140,142,40,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,吉林省,897,277,426,194,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,四川省,4668,262,1821,2585,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,天津市,243,108,115,20,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,宁夏回族自治区,235,43,99,93,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,安徽省,1523,262,912,349,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,山东省,1874,600,1118,156,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,山西省,1397,201,563,633,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,广东省,1581,436,1134,11,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,广西壮族自治区,1234,108,702,424,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,新疆维吾尔自治区,1021,162,237,621,1,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,江苏省,1307,332,877,98,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,江西省,1539,141,788,610,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,河北省,2227,266,1007,953,1,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,河南省,2371,493,949,929,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,浙江省,1512,341,728,443,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,海南省,222,18,183,21,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,湖北省,1230,290,741,199,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,湖南省,2419,258,1109,1052,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,甘肃省,1351,124,466,761,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,福建省,1102,173,595,334,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,西藏自治区,692,10,140,542,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,贵州省,1560,114,689,757,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,辽宁省,1507,602,581,324,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,重庆市,1014,175,587,252,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,陕西省,1745,175,922,648,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,青海省,396,30,137,229,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2010,黑龙江省,1278,382,473,423,0,observed,nbs_yearbook_province_admin_2010,https://www.stats.gov.cn/sj/ndsj/2011/html/B0101C.HTM
2011,上海市,209,99,108,2,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,云南省,1362,118,577,667,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,内蒙古自治区,909,240,477,192,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,北京市,322,140,144,38,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,吉林省,898,280,428,190,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,四川省,4672,277,1816,2579,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,天津市,244,110,123,11,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,宁夏回族自治区,237,44,101,92,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,安徽省,1522,265,914,343,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,山东省,1857,611,1118,128,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
2011,山西省,1397,201,564,632,0,observed,nbs_yearbook_province_admin_2011,https://www.stats.gov.cn/sj/ndsj/2012/html/B0101C.HTM
